9590	25520	25548	27982	17591	28254	32434	3852	7788	25012	
27537	6926	3277	16541	11512	10164	12939	12690	25548	21853	
25944	20237	11758	17022	8618	23617	22552	1521	27580	12808	
26376	9103	16854	30749	15329	12032	975	32395	22478	4306	
29648	19301	744	8649	13402	12472	23130	4214	26507	32446	
2498	17675	21405	9812	13275	14190	12463	24494	20058	27532	
968	10570	29973	2032	11033	13090	30826	14996	32642	2598	
10975	24567	12120	6121	12806	8303	13926	19099	24228	30657	
5937	31031	20497	23279	14721	22525	26338	28753	4636	4387	
19142	3559	30677	21960	1966	29166	18885	31529	1585	27057	
19161	30743	25390	23202	22157	22185	27315	25001	21238	28206	
14877	31932	1030	31077	19841	29360	9228	23793	31819	27983	
25978	12807	10533	31146	16875	26986	10523	25265	14948	6809	
9724	6656	27866	21318	3	8956	8949	31499	29366	13343	
15892	8025	271	656	9361	15281	27866	27639	5190	21014	
15710	29327	32336	26562	6463	16253	20498	14872	30627	8032	
19837	16346	27796	11561	24719	19100	5286	7981	538	23672	
25561	27256	8135	1540	23488	12388	9050	24705	27875	10859	
32568	30805	1891	2106	25638	15292	7900	29702	1107	16826	
9615	12579	1945	32084	17089	2259	5376	12543	18526	31068	
5508	13913	11234	23389	5144	28183	1657	29025	24298	27710	
24677	5557	19945	13463	19361	31351	21125	7004	4548	12272	
13493	7736	31015	25892	8511	18799	25930	5798	27956	32088	
22132	8113	12985	10260	3226	24949	11021	18298	20866	29871	
27080	18257	11817	6524	23905	4034	3937	22895	14579	22540	
7614	4065	11073	4474	19635	19592	1783	32403	25849	17484	
16435	19088	3632	17493	25411	13587	7113	23401	26801	9749	
8483	11637	2684	15904	4340	9577	32425	14015	27627	31049	
15098	10036	17044	13441	9726	360	3707	15482	22858	23336	
9876	874	22789	22413	21210	23920	25770	17596	17207	11232	
17673	16848	28068	21212	15247	277	6033	11556	30408	31351	
3719	29230	12322	8762	21516	17018	22260	30699	16583	20000	
27838	406	25316	18859	30387	1849	7098	9513	10356	8825	
16555	14723	11295	30356	17228	24587	11144	9367	9414	10324	
32454	20433	14461	8262	9202	18055	31215	25201	25643	8937	
31198	24226	18909	30789	9905	4276	19523	24699	29720	6569	
21547	32177	9711	28410	32250	17479	16997	5162	15599	8461	
28509	4769	17324	20404	16148	9144	22002	30083	12292	16657	
26540	21579	25609	3881	11567	10653	21187	22064	192	3642	
31547	32024	16726	27083	22729	15084	3746	20179	7989	29283	
1613	21217	540	27573	26241	14090	2965	24749	14762	29846	
17941	3839	28542	506	15760	17629	1851	25607	7137	7109	
12079	24416	25708	21917	32126	24113	4866	4097	9760	24094	
8709	16860	21033	31354	15308	14133	31821	26298	6984	32588	
30371	27945	24552	230	32169	17885	22715	10469	31881	23017	
2773	26395	26266	18132	30451	28000	18986	13898	25186	25826	
123	24082	10012	3517	7947	15424	20277	31948	3608	25516	
32629	27582	26724	27810	30023	20332	2102	24027	7121	10345	
26017	8620	31845	16859	10760	23422	3608	21130	7394	12670	
10416	13367	19899	24214	7876	9519	8059	8347	17182	18464	
6379	22216	23908	22058	7797	25707	20984	14137	31020	11230	
284	29843	20236	13753	8538	14765	28802	22598	6435	22339	
7983	29493	7094	31911	12777	5009	3395	7002	14850	5107	
29264	10457	3533	3318	28253	12985	23647	10730	5571	30966	
11923	13773	5858	649	31057	29815	32379	24632	9487	7188	
